ride_id,rideable_type,started_at,ended_at,day_of_week,month,ride_length,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
CE2816E730443FE0,electric_bike,4/6/2023 20:46:07,4/6/2023 21:02:22,Thursday,Apr,16.25,Monticello Ave & Chicago Ave,301,Monticello Ave & Chicago Ave,301,41.9,-87.72,41.9,-87.72,casual
6023CED28D7628F3,electric_bike,6/7/2023 18:42:42,6/7/2023 19:00:32,Wednesday,Jun,17.83,Monticello Ave & Chicago Ave,301,Kedzie Ave & Milwaukee Ave,13085,41.89532423,-87.71743739,41.929567,-87.707857,casual
7F180647B7EF8509,electric_bike,8/16/2023 13:47:40,8/16/2023 14:00:14,Wednesday,Aug,12.57,Monticello Ave & Chicago Ave,301,Ashland Ave & Chicago Ave,13247,41.89522505,-87.71749175,41.89595436,-87.66772807,casual
43F3D07C18CE29DB,electric_bike,2/15/2023 23:25:49,2/15/2023 23:51:35,Wednesday,Feb,25.77,Monticello Ave & Chicago Ave,301,Pulaski Rd & Lake St,528,41.9,-87.72,41.885409,-87.726491,member
D85E9E0B28B244C0,electric_bike,2/9/2023 2:05:02,2/9/2023 2:29:33,Thursday,Feb,24.52,Monticello Ave & Chicago Ave,301,Pulaski Rd & Lake St,528,41.9,-87.72,41.885409,-87.726491,member
DA405D30B0E35D22,electric_bike,12/3/2023 9:23:15,12/3/2023 9:54:08,Sunday,Dec,30.88,Lamon Ave & Chicago Ave,302,Michigan Ave & Madison St,13036,41.89523053,-87.74823725,41.882134,-87.625125,casual
2ECD529D5059C32B,electric_bike,8/11/2023 8:45:46,8/11/2023 8:54:20,Friday,Aug,8.57,Lamon Ave & Chicago Ave,302,Laramie Ave & Gladys Ave,543,41.89522731,-87.74824488,41.875806,-87.755285,casual
1830D71E999FDA1B,electric_bike,6/11/2023 13:37:13,6/11/2023 14:04:56,Sunday,Jun,27.72,Kildare Ave & Division St,303,Wells St & Elm St,KA1504000135,41.9023445,-87.7335815,41.903222,-87.634324,member
750BF23175A346D1,electric_bike,9/16/2023 5:40:51,9/16/2023 5:53:41,Saturday,Sep,12.83,Kildare Ave & Division St,303,Kildare Ave & Division St,303,41.902421,-87.7336165,41.902393,-87.733598,casual
9A4921D217617531,electric_bike,9/29/2023 17:51:10,9/29/2023 18:41:20,Friday,Sep,50.17,Lavergne Ave & Division St,304,Lavergne Ave & Division St,304,41.902189,-87.75091133,41.902513,-87.750869,casual
1DEBC815C33FCA98,electric_bike,1/11/2023 12:40:35,1/11/2023 13:09:08,Wednesday,Jan,28.55,Lavergne Ave & Division St,304,Christiana Ave & Lawrence Ave,15615,41.9,-87.75,41.96835449,-87.71183067,member
C342E6161268835E,electric_bike,9/15/2023 1:39:45,9/15/2023 1:48:26,Friday,Sep,8.68,Menard Ave & Division St,305,Menard Ave & Division St,305,41.90227139,-87.77047014,41.902269,-87.7704807,casual
98EE0C476A7F1058,electric_bike,11/21/2023 11:20:06,11/21/2023 11:27:41,Tuesday,Nov,7.58,Narragansett & McLean,309,Menard Ave & North Ave,376,41.91589717,-87.7851235,41.9097167,-87.7702037,casual
95C5FF104B49EAD4,electric_bike,6/22/2023 14:22:11,6/22/2023 14:26:03,Thursday,Jun,3.87,Narragansett & McLean,309,Public Rack - N Narragansett Ave & Grand Ave,801,41.91586683,-87.78509933,41.922495,-87.78498133,member
0EED91AC29340CFB,electric_bike,6/8/2023 18:42:21,6/8/2023 19:00:26,Thursday,Jun,18.08,Narragansett & McLean,309,Austin Blvd & Lake St,16906,41.91585255,-87.78514814,41.88794379,-87.77427346,member
DD2FF58E1683869F,electric_bike,8/28/2023 15:01:52,8/28/2023 15:17:49,Monday,Aug,15.95,Narragansett & McLean,309,Austin Blvd & Lake St,16906,41.915917,-87.785103,41.88794379,-87.77427346,member
ACEB09C9ED4AE8DC,electric_bike,6/2/2023 16:52:38,6/2/2023 17:17:16,Friday,Jun,24.63,Lockwood Ave & Wrightwood Ave,312,Lockwood Ave & Wrightwood Ave,312,41.92780983,-87.75835367,41.9278175,-87.75837017,casual
6B3EF9F3E8492966,electric_bike,8/1/2023 6:55:29,8/1/2023 7:11:28,Tuesday,Aug,15.98,Lockwood Ave & Wrightwood Ave,312,Logan Blvd & Elston Ave,TA1308000031,41.92783523,-87.7583158,41.929465,-87.684158,member
68BC82401CDC5FA3,electric_bike,8/22/2023 7:05:06,8/22/2023 7:22:10,Tuesday,Aug,17.07,Lockwood Ave & Wrightwood Ave,312,Logan Blvd & Elston Ave,TA1308000031,41.92784691,-87.75837505,41.929465,-87.684158,member
2A7145D1DFE5C420,electric_bike,7/5/2023 6:46:27,7/5/2023 7:03:09,Wednesday,Jul,16.7,Lockwood Ave & Wrightwood Ave,312,Logan Blvd & Elston Ave,TA1308000031,41.9278,-87.7583125,41.929465,-87.684158,member
B561A5936C52F63D,electric_bike,6/22/2023 17:47:39,6/22/2023 17:56:44,Thursday,Jun,9.08,Lockwood Ave & Wrightwood Ave,312,Kenosha & Wellington,361,41.92782855,-87.75839651,41.93440843,-87.73373807,member
614893CD204EB9AD,electric_bike,9/10/2023 8:37:47,9/10/2023 8:43:58,Sunday,Sep,6.18,Lockwood Ave & Wrightwood Ave,312,Narragansett & Wrightwood,314,41.92778301,-87.75837183,41.927294,-87.7852027,member
F69B23669FFB8485,electric_bike,10/18/2023 18:18:27,10/18/2023 18:26:34,Wednesday,Oct,8.12,Lockwood Ave & Wrightwood Ave,312,Narragansett & Wrightwood,314,41.92780936,-87.75835609,41.927294,-87.7852027,member
